T,TM,Tm,SLP,H,VV,V,VM,PM2.5
22,27.7,15,1015.8,62,4.3,7.4,18.3,255.875
22.1,29,13,1016.3,56,4.7,6.3,14.8,217.08333333333334
21.9,29,13,1015.6,58,4.7,1.9,5.4,229.16666666666666
23.8,30.8,16,1014,54,4.7,5.7,14.8,298.4583333333333
23.4,29.2,15,1015.8,54,4.8,8.3,16.5,264.9166666666667
23.8,31,17,1013.7,54,4.8,7,14.8,404.5
24.9,30,19.3,1017.8,53,4.8,7,13,0.0
22.8,29.3,17,1017.9,67,3.9,7.8,25.2,0.0
24.2,30,17,1015.3,52,4.5,8.5,16.5,205.125
22.2,28.4,14,1015.8,52,5.1,5.7,13,315.7916666666667
22.7,29,13,1015.3,55,4.3,4.8,11.1,322.25
24.5,29,17.2,1013.5,54,4.3,3.9,11.1,246.04166666666666
24.5,33,14,1012.2,47,4.7,5,13,200.91666666666666
26.4,36,15,1009.6,37,5.3,5,16.5,99.5
26.6,35,16,1007.8,36,4.8,6.1,16.5,100.25
25.6,33,19,1011,44,4.8,8.7,20.6,165.0
26,32,20,1011.3,51,4.8,6.3,13,116.45833333333333
24.9,30.4,19,1008.9,57,4.8,4.6,9.4,143.0
25.9,32,17.9,1013.9,49,4.7,6.9,18.3,231.125
26.6,33,19.7,1013,52,4.5,7.6,16.5,218.66666666666666
25.6,31,18,1015.4,53,5.3,8.9,22.2,52.208333333333336
26,33,17,1013.9,39,5,11.1,18.3,187.5
26.1,33,19.7,1011.6,48,5.5,8.9,18.3,130.16666666666666
24.9,31.1,20.6,1011.3,63,4.3,6.7,14.8,123.125
23.1,30,19,1011.7,77,4.3,3,7.6,120.91666666666667
22.6,30,20.2,1012.4,74,4.5,5.2,11.1,153.625
23.6,29,19.4,1014.6,70,3.7,6.7,22.2,130.33333333333334
25,29,20.3,1015.3,60,4.5,6.1,11.1,110.70833333333333
25.4,31,19,1014.9,54,5.3,9.1,14.8,138.5
28.6,35,21,1013.6,34,5.1,5.4,11.1,75.75
29.9,37,20,1014.3,34,5.3,4.3,11.1,116.625
31.3,38,20,1011.7,28,5,3.9,13,80.04166666666667
32.6,40,21,1009.9,26,5.1,4.6,11.1,100.04166666666667
32.5,39,21,1007.6,28,5.3,5.7,18.3,109.45833333333333
