T,TM,Tm,SLP,H,VV,V,VM,PM2.5
24.2,30.6,21,1009.4,65,4.8,6.9,11.1,172.75
26,31,20.4,1011.5,63,4.8,3.9,9.4,146.79166666666666
24.2,30.4,20,1012.8,70,3.9,7,11.1,113.875
23.8,30.4,15.4,1013.4,41,5.3,5.6,18.3,227.0
21.8,29,10.4,1015.3,29,5.5,4.6,11.1,228.79166666666666
21.2,30,9,1013.4,36,5.3,3.1,7.6,200.875
19.5,28.9,11,1014.8,53,5,3.7,20.6,214.04166666666666
21,29.5,12,1015.3,46,5.5,5.2,13,217.25
23.2,29.2,17,1016.2,50,5.1,8.9,11.1,212.45833333333334
22.1,29.2,16,1018.8,53,4.5,9.3,13,202.66666666666666
23.9,29.8,17,1017,43,5,9.4,16.5,138.79166666666666
23.2,29,17,1016.2,50,4.7,8.7,13,153.08333333333334
23.7,29.2,15,1014.8,41,5.8,7.4,14.8,159.70833333333334
22.6,30.4,13,1015.4,49,5.3,3,11.1,224.79166666666666
23.3,30.4,17,1016.7,56,4.8,7.6,11.1,177.625
23.9,29.8,18.7,1019.2,44,5.1,7.2,13,149.625
25.3,31,13,1015.4,34,5.5,8.5,14.8,161.16666666666666
25.2,32,19,1014.8,40,4.5,9.4,14.8,136.75
24.4,31.2,17,1015.3,43,5,9.8,14.8,50.916666666666664
26.8,34,13,1012.8,29,5.3,4.8,13,120.20833333333333
25.9,33.9,16,1012.2,31,5.1,4.4,9.4,137.125
27.6,35.7,19,1010.9,36,5.3,7,11.1,166.375
27.1,34,20,1012.9,40,5.3,8.3,16.5,126.58333333333333
26.1,33,17,1012.1,37,5.6,5,11.1,94.91666666666667
28.9,36,15,1009.2,21,5.3,4.8,11.1,133.95833333333334
28.4,37,16,1009.7,24,5.6,5.7,13,69.25
26.6,35.4,19,1008.6,37,5.6,6.5,14.8,79.29166666666667
23.3,33.2,18,1011.3,69,3.9,5.2,11.1,31.625
25.8,30,20.8,1012.3,59,5.5,2,11.1,20.416666666666668
27.6,33,22,1011.9,53,4.8,7.6,25.9,49.583333333333336
27.8,34,20.4,1012.6,56,4.8,6.5,11.1,34.916666666666664
28.9,35,18,1013.5,32,5.6,5.6,14.8,128.83333333333334
28.7,36,19,1012.3,32,5.8,7.2,11.1,56.333333333333336
28.7,38,20,1013.2,39,5,6.9,14.8,20.291666666666668
29.4,37,22,1011,29,5.1,5,11.1,59.166666666666664
31.6,37,22.2,1013.1,23,5.8,6.9,14.8,83.83333333333333
