T,TM,Tm,SLP,H,VV,V,VM,PM2.5
26.7,33,20,1012.4,60,5.1,4.4,13,284.79583333333335
29.1,35,20.5,1011.9,49,5.8,5.2,14.8,219.72083333333333
28.4,36,21,1011.3,46,5.3,5.7,11.1,182.1875
25.9,32,20,1011.8,56,6.1,6.9,11.1,154.03750000000002
24.8,31.1,20.6,1013.6,58,4.8,8.3,11.1,223.20833333333334
24.3,30.5,18.8,1014.1,49,5.3,7.6,14.8,200.64583333333337
24.9,33,10,1014.3,27,5.3,5.4,14.8,285.22499999999997
24.6,34.1,11,1013.7,31,5,3.9,11.1,236.82499999999996
25.7,34.1,12,1013.9,34,6.1,5.9,13,276.90833333333336
23.7,30.4,17,1015.8,46,5.1,5.2,14.8,108.0
23.6,31,14,1015.1,42,5.1,6.3,22.2,107.625
24.1,30.4,14,1015,43,5.3,6.5,13,125.89166666666667
25.2,31,19,1015.4,48,4.7,11.1,16.5,181.01250000000005
25.9,31,18.4,1015.5,45,6.4,7.2,14.8,152.55416666666667
25.2,31,19,1014.8,49,5,8.7,16.5,152.32083333333335
23.6,29,17,1014.9,54,4.7,5.9,16.5,319.7375
23.3,29,17,1015.4,51,5,7,16.5,332.7083333333333
22.1,28.4,14,1014,55,4.7,5,13,279.59999999999997
24.2,31,15,1014.2,45,5.3,5.4,16.5,179.11666666666667
27,33,19,1011.7,47,5.5,6.7,14.8,54.791666666666664
24.7,32.6,19,1011.7,45,6,8,13,93.375
24.8,30,19,1012.2,54,5.3,10.6,16.5,103.0
27.3,32,20,1012.1,40,5.3,6.3,16.5,132.20833333333334
26.9,32.4,17,1011.7,32,5.8,9.1,16.5,127.70833333333333
27,34,20,1009.6,49,5.8,9.3,14.8,109.33333333333333
24.9,33,14,1012,36,6.1,4.3,14.8,56.458333333333336
26,33,19,1012.5,52,5.3,7.6,13,135.83333333333334
26.9,32,20.6,1013.8,52,5.8,6.9,14.8,122.5
28.4,35,17,1013.7,36,6.3,6.1,14.8,69.66666666666667
28.4,35,18,1013.5,32,5.8,5.6,14.8,79.83333333333333
28.6,37,17,1013.3,29,5,5.6,11.1,62.708333333333336
29.1,36,19.4,1012.8,26,6,6.5,16.5,21.208333333333332
28.7,35,19,1013.8,21,6.4,8.9,18.3,1.9166666666666667
29.2,36,17.4,1013.5,15,6.3,10.2,22.2,1.8333333333333333
29.9,36,21,1013.2,36,6.1,9.1,16.5,105.83333333333333
29.7,35,21,1013.6,35,6,6.7,14.8,117.58333333333333
31.6,37,21.1,1011.8,28,6,7.6,14.8,122.70833333333333
31.7,39,24.6,1010,25,6.3,9.1,18.3,111.95833333333333
31.9,38,23.5,1010.5,25,5.8,9.4,16.5,59.208333333333336
30.4,37,22,1011,27,5.6,9.6,16.5,77.20833333333333
30.3,37,22.8,1008.4,37,5.1,9.6,16.5,98.70833333333333
31.5,39,23.9,1010,30,6.1,8.9,20.6,123.70833333333333
33.2,40,23,1008.1,26,6.4,6.1,11.1,64.79166666666667
33.2,41,24,1007.1,25,6.1,6.9,14.8,52.333333333333336
33.8,41,22,1006.4,26,6,6.1,13,52.041666666666664
34.4,42,26,1006.8,27,6.4,8.1,18.3,128.33333333333334
32.8,39,26,1006.6,41,5.6,7,77.8,0.0
33.8,41,26.6,1006.9,37,6.8,9.3,18.3,23.208333333333332
27.7,38.4,21.4,1009.2,60,5,11.3,18.3,15.166666666666666
30.7,38,20.2,1009.1,46,5.1,4.1,37,21.25
34.8,42,22,1005.6,31,6.3,5.4,16.5,81.83333333333333
34.1,40,27,1007.2,40,6.1,6.9,14.8,105.33333333333333
33.2,40,25,1007.6,41,5.6,6.9,14.8,117.75
33.7,41,25,1009.1,30,7.2,7.4,14.8,84.5
31.8,39,24,1009.9,42,5.6,11.3,24.1,46.916666666666664
33.3,41,26,1005.9,44,5.8,4.6,16.5,104.625
34.4,40.1,27,1002.6,21,6.9,12,22.2,110.875
31.7,39,23.8,1005.1,26,5.1,11.9,20.6,42.958333333333336
29.8,37.1,23,1007.1,43,5.5,8.1,24.1,0.0
31.9,37,26,1008.9,49,6.1,7.6,29.4,120.875
31.8,40,23.2,1009.2,42,5.3,4.3,11.1,79.91666666666667
37.4,44,27,1004.4,21,7.1,6.3,14.8,94.75
37.7,43,27.9,1002.6,22,7.4,6.5,22.2,142.5
36.2,43,29,1001.2,21,6.1,8.9,16.5,133.375
36.2,44,27.2,1003,36,6.8,7,13,147.83333333333334
35.6,43,29.2,1003.3,37,6.3,4.3,13,158.29166666666666
36.8,43,27.6,1003.2,25,6.9,10.2,25.9,149.58333333333334
36.6,43,25.9,1001.3,21,6.8,7.2,18.3,101.5
35.9,42,28,999.5,21,7.2,6.5,18.3,106.5
34.7,42.7,29.2,1002.6,33,6.6,8.9,20.6,101.95833333333333
37,43,29,1003.1,24,7.2,8.7,22.2,98.41666666666667
35.9,43,29,1002.1,28,7.6,13.3,27.8,94.375
36.9,42.4,29.1,1002.2,22,6.9,13.1,25.9,107.625
35.4,41,29.7,1002.6,26,7.1,12,27.8,110.41666666666667
32.6,40.4,28.4,1004,41,7.4,10.7,18.3,95.83333333333333
33.1,41,26.2,1001.4,40,5.8,11.5,22.2,72.25
30.9,38.9,25.2,1002.8,51,6.1,10.9,20.6,38.666666666666664
30.2,37,25,1001.9,55,5.8,8.1,25.9,45.375
31.1,38,23,1001.5,51,6.3,9.4,18.3,65.16666666666667
30.2,34,26.2,1001.3,60,6,7.4,14.8,66.08333333333333
28.3,35,25.4,1001.8,66,5.3,12.4,22.2,77.66666666666667
29.8,34.5,23.7,1002.5,53,6.6,22.8,33.5,70.25
26.1,29.4,22.5,998.6,68,5,14.8,24.1,56.291666666666664
24,27.3,22.2,998,80,4.5,19.8,33.5,77.0
27.7,30.7,21.8,999,62,6.3,17.8,29.4,32.958333333333336
29.8,34,23.6,1002.1,55,5.6,11.7,22.2,80.625
28.3,34.4,24.3,1001.9,62,5.5,15,22.2,97.29166666666667
24.7,28,20.8,1003.5,72,5.3,15.9,22.2,50.708333333333336
25.7,29.8,22.7,1004.6,79,5,8.7,22.2,40.375
29.7,34,22.6,1003.8,56,5.5,13.5,27.8,49.416666666666664
29.2,33,24.1,1001.9,56,5.6,16.3,22.2,61.875
29.8,34.1,23.5,1000.7,55,5.5,15.6,22.2,0.0
27.3,34.1,22.2,1000.6,72,4.8,15.2,24.1,29.666666666666668
26.7,32.4,23.8,1003.2,71,4.8,13.3,22.2,49.125
26.8,31.3,23.5,1002.5,71,5.1,15,24.1,43.666666666666664
26.6,31.3,22.9,1001.9,70,5.3,14.4,25.9,29.833333333333332
26.4,30.1,21.4,1003.2,69,6,14.3,22.2,35.208333333333336
26.9,30.3,22.7,1003.1,72,5.3,15,22.2,37.625
22.5,25.9,21,1000.9,87,4.5,17,29.4,38.583333333333336
25.2,29.8,22.9,1001.1,77,5.3,15.2,22.2,70.58333333333333
26.2,29.2,23,1001.4,69,4.7,17.4,27.8,33.166666666666664
26.4,30.7,22.7,1001.5,70,5.3,15.7,24.1,38.25
