T,TM,Tm,SLP,H,VV,V,VM,PM2.5
23.7,33,15,1017.5,53,4.7,3.5,7.6,284.79583333333335
25.3,33,16.5,1017.9,36,5.5,3.1,11.1,219.72083333333333
23.8,30.4,13,1015.7,38,4.7,5.6,14.8,223.20833333333334
24.2,31,13,1013.1,33,4.7,4.4,9.4,285.22499999999997
25.6,32,19,1012.1,59,3.9,6.1,11.1,152.55416666666667
27.7,36.5,17,1012.4,29,5,4.6,13,179.11666666666667
28.7,35,20.3,1013.5,41,5.3,7,18.3,54.791666666666664
27.5,34,20.8,1012.5,52,4.7,8,14.8,93.375
28.4,35,21,1011.8,44,4.7,7.2,13,103.0
29.8,37,21,1011.3,38,5,7.2,13,132.20833333333334
26.9,35.1,20.9,1011.1,55,5,7,11.1,127.70833333333333
26.8,34.2,20,1012.1,37,5.6,8.3,18.3,109.33333333333333
27.1,36,15,1014.8,31,5.3,6.3,13,56.458333333333336
28.2,37,17,1013.3,32,5,5,9.4,135.83333333333334
30.7,40,17,1012.5,25,5.6,5.9,25.9,122.5
28.9,37.8,21,1010.2,50,5.1,6.3,11.1,69.66666666666667
29.1,37.2,22.3,1013.6,54,5,8.9,14.8,79.83333333333333
29.2,35,22.5,1014.8,46,5.1,7.8,13,62.708333333333336
27.9,34.2,21,1012,53,5.1,9.1,13,1.9166666666666667
29.5,35,21,1014.7,41,5,5.2,11.1,1.7916666666666667
31.1,41.2,24,1010.2,42,4.8,5.2,14.8,123.70833333333333
33.1,40.2,24,1009.2,28,5.3,4.6,11.1,64.79166666666667
33.3,40,24,1012.2,34,5.5,7.2,11.1,52.041666666666664
33.3,41,24,1011.1,31,5.1,7.6,13,128.33333333333334
31.8,41,22,1009.1,38,5.1,4.8,9.4,87.58333333333333
34.8,42,25,1007.2,33,5.1,5.7,14.8,21.25
34.3,41,26,1007.4,36,5.5,5.6,11.1,25.75
35.6,41,25.8,1008,20,6,5.6,9.4,105.33333333333333
33.9,41,24,1006.5,26,6.1,5.9,11.1,117.75
33.6,41,24.1,1008.8,32,6,8.7,18.3,20.791666666666668
35.3,43,26,1004,37,5.8,7.6,11.1,104.625
36.3,44,27.8,1005.8,34,5,7,11.1,109.625
34.8,41.2,28,1003.7,34,6.1,7.6,14.8,30.875
35.1,41.2,28.2,1005.1,38,5.3,6.5,13,128.125
32,41.6,25.3,1005.6,56,6,5.6,14.8,108.0
29.5,38,23,1000.4,57,4.7,14.8,27.8,94.375
32.2,39,23.6,1000.9,47,4.8,14.3,22.2,118.5
32.2,40.8,25.5,1002.7,43,4.5,17.4,37,110.41666666666667
34.2,41,27.5,1003.5,38,5,14.3,27.8,93.5
33.7,40.2,27.3,1004.4,45,5.1,7.4,18.3,45.375
30.3,39,26.9,1004.5,62,4.7,11.9,18.3,65.16666666666667
30.5,40,24,1003.7,55,4.5,14.8,46.5,67.08333333333333
26.9,31,22.9,1003,76,4,7.8,16.5,97.29166666666667
25.4,31,23,1003.2,72,5,10.6,20.6,47.75
24.8,31.9,22,1002.8,73,4.8,10.6,18.3,43.666666666666664
25,28,22.8,1002.1,70,5,11.5,22.2,29.833333333333332
24.4,29.2,20,1005.6,75,4.5,12.8,25.9,70.58333333333333
26.5,32.4,23.3,1005.1,64,4.7,8.1,14.8,21.125
24.7,30.3,21,1006.5,77,4.7,6.3,18.3,62.375
23.3,26,20.8,1003.5,88,3.7,5.6,11.1,41.5
23.9,29.2,19.9,1005.1,82,3.9,4.8,7.6,26.666666666666668
25.9,31,21,1007.9,69,5.1,5.6,9.4,29.0
26.9,32,20,1008.6,64,5.3,4.1,9.4,34.25
23.6,28,21,1007.2,84,3.7,5.4,13,50.916666666666664
25.8,33.4,19.3,1009.7,58,6.3,2.2,5.4,82.83333333333333
25.1,33,18,1010.5,43,5.6,3,7.6,95.25
25.1,32,16,1012.2,43,5,3.9,9.4,115.83333333333333
24.7,32.2,16,1009.6,43,4.8,4.3,9.4,136.70833333333334
24.2,32.2,15,1008.9,40,4.8,3.1,11.1,160.66666666666666
24.2,32.2,14,1010.4,41,4.7,4.4,11.1,173.58333333333334
25,31.8,18,1010.6,45,4.8,3.7,7.6,261.6666666666667
25,32,16,1010.8,43,4.8,5.7,9.4,272.4166666666667
24.4,32.1,16,1012.7,39,5,4.4,11.1,226.29166666666666
25.1,30,21,1014.1,68,3.9,2.4,7.6,99.70833333333333
25.5,31.1,20,1014.6,50,4.7,3.1,7.6,217.375
25.4,32,18,1013.4,51,4.3,3.5,9.4,309.375
25.9,32.1,18,1011.5,53,4.7,2.2,7.6,166.91666666666666
23.1,31.2,13,1013.5,34,4.8,4.8,11.1,278.0
22.7,31,12,1015.5,33,4.3,2.8,9.4,192.33333333333334
22.9,31,12,1015.4,38,4.8,2.6,7.6,235.33333333333334
23.1,30.2,12.9,1014.5,50,4.3,2.6,7.6,194.70833333333334
22.8,32,11,1012.9,38,4.8,3.3,7.6,274.875
24,33,11,1014,36,5,3.3,9.4,160.0
24.2,34,12,1013.8,38,4.7,3.9,11.1,217.91666666666666
25.8,34,12,1014.3,35,5.3,4.1,11.1,184.20833333333334
24.8,32,15.6,1014.9,46,4.5,3.9,9.4,176.375
25.1,31,15.7,1014.7,64,4.3,4.3,9.4,185.95833333333334
26.2,31,21.2,1015.9,68,3.9,4.3,7.6,195.375
23.2,31,12.9,1013.3,41,4,3,9.4,237.625
24.7,28.5,20.2,1013.7,79,3.1,5,14.8,260.1666666666667
25.4,34,13.4,1015.2,45,5.1,3.3,7.6,284.1666666666667
26.4,36,12.3,1017.1,46,5,1.7,5.4,288.4166666666667
25.2,34,12.4,1014.2,51,4.7,4.6,11.1,169.0
25.5,34,14.2,1013.7,50,4.5,2,5.4,186.04166666666666
22.9,32,13.9,1015.8,51,4.7,3.1,9.4,185.58333333333334
